"Vuoskkujavri(Year), created by Plot Digitizer, 2.6.8",,,,,,,,,,,,,,,,,,,,,,
"Date: 24/08/18, 19:10:56",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,
Year,counts,Crictopus_undiff,Orthocladius_undiff,Heterotanytarsus,H_grimshawi,H_brundini,H_marcidus,Allopsectrocladius,Psectrocladius_septentrionalis,Zalutschia_zalutschicola,Zalutschia_sp,Dicrotendipes,Microtendipes,Sergentia,Corynocera_oliveri,Coynocera_ambigua,Micropsectra_insignilobus,Paratanytarsus,Tanytarsus_spB,Tanytarsus_lugens-group,Pentaneurini,Procladius
1999,130.2,0,1.62189,0,0,0.949205,4.10936,1.35387,2.63468,18.9747,0,0,6.99852,6.56746,34.7248,8.25961,0,6.59661,0,12.6631,0,9.00363
1998,40.5,15.4597,5.68893,0,0,0,13.7027,15.0836,13.3387,0,2.38974,0,1.9179,7.07856,0,0,7.11599,4.0432,0,4.51628,0,11.0331
1991,55.9,18.1734,0,0,0,0,22.2631,0,5.99138,0,0,0,6.11121,6.1878,0,0,23.27,4.58002,0,9.83367,3.72965,4.40506
1987,57.9,0.133277,0,13.1741,11.8389,0,4.96145,0,7.53729,0,0,8.31099,3.9457,0,0,4.65185,11.4929,4.67433,12.7795,9.37833,26.2627,0
1982,58.5,6.92937,6.22714,10.7896,0,0,0,2.31418,9.21474,0,12.2351,0,18.4671,13.238,6.74609,4.44169,7.46347,0,4.44061,0,12.918,11.6352
1977,141,7.23334,11.13,5.90616,5.27358,1.53787,2.77115,11.0462,9.56717,0,1.46046,10.8414,8.88319,5.1971,1.16802,1.57456,11.7273,4.42378,1.32113,9.62848,9.51558,3.30099
1972,150.7,9.76309,11.0329,4.23591,5.20637,1.90472,4.08861,1.33156,14.2989,0,0,6.11698,11.4865,6.55123,0,0,10.0426,3.93119,0,0,11.993,7.89139
1966,44.5,0.253942,0,4.17349,12.1482,0,0,0,9.47435,5.18688,0,0,14.2216,0,0,0,12.4997,0,17.2561,0,2.97137,0
1959,71.5,10.3727,16.1165,0,9.74433,4.58349,4.8317,4.48452,8.49753,0,0,2.19093,6.09647,7.01396,0,4.68981,9.55466,4.563,2.61486,0,13.3154,8.17253
1951,100.6,12.5304,9.07491,3.69234,8.89617,2.72938,5.28631,4.94227,10.8405,0,2.12604,3.19476,3.00261,1.7774,0,1.82268,7.14606,4.80637,0,2.04924,13.1123,11.6654
1943,80.3,9.13118,0,4.69801,8.04801,6.29257,14.5348,6.08732,11.059,0,7.14784,2.11526,0,2.00749,1.7134,2.2368,11.9487,6.95817,4.19903,2.55981,7.72063,3.81731
1934,145.1,0,2.48802,0,0,4.85449,3.61247,1.37187,3.04737,6.14916,1.00956,1.24598,4.7631,15.2756,31.6494,5.61968,2.51475,8.96491,0,6.14555,0,6.9443
1926,89,3.4423,0.168685,5.82225,10.6372,4.52816,3.03339,1.9989,12.1597,0,1.39236,1.93778,3.39109,4.2901,1.62167,0,12.3625,7.14879,0,0,7.05381,5.07184
1919,171.1,7.82237,5.62461,1.82914,19.9183,1.83882,10.2145,3.83596,9.05955,0,4.38385,0,1.22498,2.13765,0,1.44651,9.77616,11.3608,0,2.5478,1.83627,6.24872
1912,116.3,6.6481,9.41386,1.9469,13.2254,3.04152,11.8784,4.9818,6.49101,0,4.47548,1.55198,2.50378,1.53044,1.40361,1.54813,18.542,3.22111,3.45827,1.90016,5.3511,6.57138
1905,111.6,14.3601,2.65008,3.31131,14.5235,5.07504,11.1284,2.50773,3.78853,4.69829,0,1.61973,1.53092,2.88139,0,0,7.48719,10.9645,3.38129,4.90898,2.55431,4.33418
1900,100.4,0,8.66408,1.46169,12.3091,5.58267,7.96313,0,12.2383,0,2.78192,1.7907,1.61586,3.11212,1.56924,0,7.2432,9.29408,2.21537,0,5.11657,3.07093
