depth,merged_depth,Chironomus plumosus,Dicrotendipes,Microtendipes,Parachironomus,Pseudochironomus,Paratanytarsus,Tanytarsus sp,Tanytasus lugens,Tanytrsus mendax,Tanytarsus sp. C,Corynoneura,Corynoneura arctica,Corynoneura edwardsi,Cricotopus,Eukiefferiella,Limnophyes,Orthocladius,Parakiefferiella,Psectrocladius sordidellus,Pseudosmittia,Smittia,Telopelopia,Procladius,total,total4
0,0,,,,,,,,,,,,,,,,,,,1,,,1,,2,8
0.2,0,,,,,,1,,,,,,2,,,,,,1,,,3,1,,8,32
0.4,0.4,,,,1,,,,,,,1,,,,,,,2,2,,2,,,8,32
0.6,0.6,1,,,,,1,,,,,,,,,,,,7,,,3,2,,14,56
0.8,0.8,,,,,,,,,,,1,,,1,1,,,1,,,3,1,,8,32
1,0.8,,,,,,,,,,,,,,,,,,,,,1,,,1,4
1.2,1.2,,,,,,1,,,,,1,,,,,,,10,,,1,1,,14,56
1.4,1.4,,,,,,2,,,,,1,,,,,1,,,2,,,,,6,24
1.6,1.6,2,1,,,,2,,,,1,2,,,,,1,,3,1,,2,,,15,60
1.8,1.6,,1,,,,,,,,,,,,,,,,,1,,,,,2,8
2,2,2,,,,,1,,,,,,,1,,,2,5,1,2,,,1,,15,60
2.2,2.2,1,,,,,,,,,,,1,,,,,,1,1,1,1,,1,7,28
2.4,2.4,,,,,,1,1,,,,,,,,,,,1,2,,,1,,6,24
2.6,2.6,1,,,,,1,,,,,,,,3,,,,1,2,,,,,8,32
2.8,2.8,,,,,,1,1,,,,2,,,2,,,,,,,,,,6,24
3,3,2,,,,,,,,1,,,1,,1,,,,,1,,,,,6,24
3.2,3.2,,,,,,,,,,,,,,,,,,,1,,,,,1,4
3.4,3.2,,,,,,,,,,,,,,,,,,,2,1,,,,3,12
3.6,3.6,1,,,,,,,,,,,,,,,,1,2,4,,,,,8,32
3.8,3.8,2,,,,,1,1,,1,,,2,,,,,,1,2,,,,,10,40
4,4,3,,,,,3,,,,,,,,,,,,2,1,,,,,9,36
4.2,4.2,1,,,,,2,,,,,,1,,1,,,,1,,,,,,6,24
4.4,4.4,3,,,,,,,,,,,,,1,,,,1,1,,,,,6,24
4.6,4.6,,,,,,,1,,,,1,,,,,,,,,,,,1,3,12
4.8,4.8,2,,,,,2,2,,,,,,1,2,,,,,2,,,,,11,44
5,5,2,,,,,2,1,,,,,,1,,,,,2,,,,,,8,32
5.2,5.4,,,,,,,1,,,,,,,,,,,,,,,,,1,4
5.4,5.4,1,,,,,,,,,,,,,,,,,,,,,,,1,4
5.6,5.4,,,,,1,,,,,,,1,,,,1,,,,,,,,3,12
5.8,5.8,,,,,,,,,,,,,,,,1,,1,,,,,,2,8
6,5.8,,,,,,,,,,,,,,,,,,,,,1,,,1,4
6.2,6.2,2,,,,,1,,,,,,,,,,,,,1,,,,,4,16
6.4,6.4,,,,,,,2,,,,1,,,,,,,1,,,,,,4,16
6.6,6.6,,,1,,,,1,,,,,1,,,,,,,,,,,,3,12
6.8,6.8,,,,,,,1,,,,2,,,,,,,,,,,,1,4,16
7,7,1,,,,,,1,,,,,1,,,,,,1,1,,,,,5,20
7.2,7.8,,,,,,,1,,,,,,,,,,,,,,,,1,2,8
7.4,7.8,,,,,,,,,,,,,,,,,,,,,,,,0,0
7.6,7.8,,,,,,,,,,,,,,,,,,,,,,,1,1,4
7.8,8,,,,,,1,,,,,,,,,,,,1,,1,,,,3,12
8,8,,,,,,,,,,,,,,,,,,,,,,,,0,0
8.5,9,,,,,,,2,,,,,,,,,,,,,1,,,,3,12
9,9,,,,,,,,,,,,,,,,,,,,,,,,0,0
9.5,9,,,,,,,,,1,,,,,,,,,,,,,,,1,4
10,10.4,,,,,,,,,,,,,,1,,,,,,,,,,1,4
10.5,10.4,,,,,,,,,,,,,,,,,,,,,,,,0,0
11,10.4,,,,,,,,1,,,,,,1,,,,,,,,,,2,8
11.5,12.1,,,1,,,,,,,,,,,,,,,,,,1,,,2,8
12,12.1,,,,,,,2,,,,,,,,,,,,,,,,,2,8
12.5,12.1,,,,,,,,,,,,,,,,,,,,,,,,0,0
13,13.7,,,,,,,1,,,,,,,,,,,,,,,,,1,4
13.5,13.7,,,,,,,,,,,1,,,,,,,,,,,,,1,4
14,13.7,,,,,,,,,,,,,,,,,,,,,,,,0,0
14.5,13.7,,,,,,2,,,,,,,,,,,,,,,,,,2,8
15,15.5,,,,,,,,,,,1,,,,,,,,,,,,,1,4
15.5,15.5,,,,,,,1,,,,,,,,,,,,,,,,,1,4
16,15.5,,,,,,2,,,,,,,,,,,,,,,,,,2,8
16.5,17,,,,,,,,,,,1,,,,,,,,,,,,,1,4
17,17,,,,,,1,,,,,1,,,,,,,,,,,,,2,8
17.5,17,,,,,,1,,,,,,,,,,,,,,,,,,1,4
18,17,,,,,,,,,,,,,,,,,,,,,,,,0,0
18.5,17,,,,,,,,,,,,,,,,,,,,,,,,0,0
19,18.75,,,,,,1,1,,,,,,,,,,,,,,,,,2,8
19.5,18.75,,,,,,,,,,,,,,,,,,,,,,,,0,0
20,18.75,,,,,,1,1,,,,,,,,,,,,,,,,,2,8
20.5,21.5,,,1,,,,1,,,,1,,,,,,,,,,,,,3,12
21,21.5,,,,,,,1,,,,,,,,,,,,,,,,,1,4
21.5,21.5,,,,,,1,,,,,,,,,,,,,,,,,,1,4
22,22.75,,,,,,,4,,,,1,,,1,,,,1,,,,,,7,28
22.5,23,,,,,,,3,,,,,,,,,,,,,,,,,3,12
23,23.5,,,,,,,1,,,,,,,,,,,,,,,,,1,4
23.5,23.5,,,,,,,,,,,,,,,,,,,,,,,,0,0
24,23.5,,,,,,,1,,,,1,,,,,,,,,,,,,2,8
