"Temperature(Years), created by Plot Digitizer, 2.6.8",,
"Date: 14/11/18, 15:58:44",,
,,
,,
Year,Instumental_temperature,Chironomid-inferred
1864,11.3106,12.1742
1866,10.2803,10.4924
1868,10.4924,11.7803
1870,11.0985,11.4773
1872,10.7955,11.4318
1874,12.7197,12.25
1876,11.3864,11.2955
1878,10.2045,10.7197
1880,9.50758,10.7197
1883,9.81061,12.4773
1885,11.8106,12.9015
1887,11.0076,12.447
1888,8.40152,9.35606
1890,8.40152,9.14394
1892,10.4167,11.6894
1894,11.1136,12.6742
1896,10.7045,11.6591
1898,10.3106,11.1591
1900,11.5076,12.4621
1901,10.1136,10.5833
1903,11.8106,12.2045
1905,10.6894,11.0227
1909,8.97727,10.6894
1912,10.0076,10.8561
1914,10.1894,10.75
1917,10.2045,11.75
1919,9.93182,8.49242
1921,12.2045,11.0076
1923,12.1136,11.3409
1925,10.0985,12.1439
1928,12.8258,12.5833
1930,11.5076,12.053
1931,9.09848,10.8106
1932,10.1288,12.2803
1933,10.9167,12.9015
1934,11.3106,11.6136
1935,10.5076,10.6136
1936,9.87121,11.0379
1937,10.7955,11.1591
1938,9.99242,11.0985
1939,9.93182,10.6288
1940,9.76515,10.0076
1941,11.0985,11.8409
1942,10.4015,11.0227
1943,11.5833,11.1591
1944,11.727273,11.7348
1945,11.5833,12.4318
1946,11.2955,13.9773
1947,11.1742,12.1136
1948,7.29545,8.05303
1949,11.1136,12.0682
1950,12.0985,12.4318
1952,12.5985,13.5985
1953,10.5985,10.9773
1955,10.6894,11.8561
1956,9.99242,11.7348
1957,10.0076,12.8561
1958,10.6742,9.12879
1961,10.2197,11.3258
1962,11.9318,12.7652
1964,11.1894,12.6591
1965,8.79545,10.6439
1967,10.3864,11.3864
1969,10.9015,11.4621
1970,9.79545,10.8258
1973,9.81061,8.56818
1976,10.2045,12.4924
1977,9.29545,9.50758
1979,10.0985,11.7045
1980,8.67424,8.49242
1982,9.29545,8.32576
1983,12.1136,13.0985
1984,10.6288,11.7045
1985,11.5076,12.0076
1987,11.0227,11.6288
1989,11.3106,12.2955
1990,11.5833,12.3258
1992,11.5076,12.0833
1993,9.91667,8.43182
1995,10.4924,11.2652
1997,11.7197,12.1894
1998,11.4167,12.8712
2001,12.3258,13.2652
