NAME,ORD,CAT,AUTHOR,LAT,LONG
BC01,1,primary,Fortin,75.19,-111.92
BC02,1,primary,Fortin,75.19,-111.92
BC03,1,primary,Fortin,75.19,-112.01
CI20,1,primary,Fortin,76.37,-98.81
CI26,1,primary,Fortin,75.43,-99.65
Coal,1,primary,Fortin,79.93,-84.53
CV01,1,primary,Fortin,79.93,-82.95
CV02,1,primary,Fortin,79.92,-82.93
CV03,1,primary,Fortin,79.92,-82.94
CV04,1,primary,Fortin,79.92,-82.93
DV09,1,primary,Fortin,75.58,-89.31
E501,1,primary,Fortin,79.33,-82.54
E503,1,primary,Fortin,79.92,-82.93
E506,1,primary,Fortin,80.57,-84.47
E508,1,primary,Fortin,80.81,-84.16
E510,1,primary,Fortin,80.75,-84.68
E511,1,primary,Fortin,79.55,-87.91
JR05,1,primary,Fortin,69.87,-95
JR06,2,secondary,Fortin,69.87,-94.92
KR04,1,primary,Fortin,71.31,-113.94
KR08,1,primary,Fortin,71.31,-113.67
MB01,1,primary,Fortin,69.8,-112.07
MB02,1,primary,Fortin,69.8,-112.08
MB03,1,primary,Fortin,69.8,-112.07
MR01,1,primary,Fortin,71.72,-122.04
MR02,1,primary,Fortin,71.72,-122.04
SL01,1,primary,Fortin,68.58,-91.94
SL02,1,primary,Fortin,68.57,-91.96
SL03,1,primary,Fortin,68.58,-91.92
SL04,1,primary,Fortin,68.58,-91.91
SL05,1,primary,Fortin,68.59,-91.88
SL06,1,primary,Fortin,68.6,-91.95
SP02,1,primary,Fortin,68.55,-83.29
SP04,1,primary,Fortin,68.55,-83.29
TwoBasin,1,primary,Fortin,79.93,-84.67
WB01,1,primary,Fortin,72.29,-109.99
WB04,1,primary,Fortin,72.28,-109.94
WB06,1,primary,Fortin,72.31,-109.87
E509,1,primary,Gajewski,80.83,-84.45
E507,1,primary,Gajewski,80.58,-83.97
HW06,1,primary,Gajewski,80.26,-87.77
HW05,1,primary,Gajewski,80.18,-87.69
HW01,1,primary,Gajewski,80.02,-83.39
E505,1,primary,Gajewski,79.98,-82.97
Ridge,1,primary,Gajewski,79.94,-84.62
E504,1,primary,Gajewski,79.93,-82.94
HW03,1,primary,Gajewski,79.73,-85.81
HW02,1,primary,Gajewski,79.73,-83.47
HW08,1,primary,Gajewski,79.72,-83.5
HW07,1,primary,Gajewski,79.72,-83.52
E516,1,primary,Gajewski,79.69,-87.51
E515,1,primary,Gajewski,79.65,-87.75
CI17,1,primary,Gajewski,76.6,-98.87
CI18,1,primary,Gajewski,76.51,-98.88
CI16,1,primary,Gajewski,76.5,-98.16
CI15,1,primary,Gajewski,76.5,-98.16
CI22,1,primary,Gajewski,75.9,-99.21
CI23,1,primary,Gajewski,75.53,-98.21
CI25,1,primary,Gajewski,75.52,-99.53
CI27,1,primary,Gajewski,75.46,-99.91
DV07,1,primary,Gajewski,75.53,-91.97
DV05,1,primary,Gajewski,75.52,-92.05
DV06,1,primary,Gajewski,75.51,-91.99
DV08,1,primary,Gajewski,75.37,-89.49
DV02,1,primary,Gajewski,74.93,-88.68
DV04,1,primary,Gajewski,74.83,-88.23
CI34,1,primary,Gajewski,75.4,-94.67
CI33,1,primary,Gajewski,75.22,-93.65
CI32,1,primary,Gajewski,74.91,-93.52
CI31,1,primary,Gajewski,74.68,-94.27
Allen,1,primary,Gajewski,73.62,-98.47
DUO,1,primary,Gajewski,73.58,-98.45
Wolf,1,primary,Gajewski,73.58,-98.48
CI01,1,primary,Gajewski,73.88,-94.87
CI14,1,primary,Gajewski,72.7,-93.87
CI07,1,primary,Gajewski,72.59,-95.06
CI08,1,primary,Gajewski,72.49,-95.09
CI09,1,primary,Gajewski,72.27,-95.09
CI12,1,primary,Gajewski,72.03,-94.62
CI11,1,primary,Gajewski,72.02,-94.75
WB05,1,primary,Gajewski,72.29,-109.83
WB02,1,primary,Gajewski,72.29,-109.97
KR07,1,primary,Gajewski,71.36,-113.81
KR02,1,primary,Gajewski,71.34,-113.78
KR01,1,primary,Gajewski,71.34,-113.82
KR06,2,secondary,Gajewski,71.32,-113.97
JR02,1,primary,Gajewski,69.92,-94.97
JR01,1,primary,Gajewski,69.9,-95.07
3Gmen,2,secondary,Wilson,59.61,-136.45
Ash,1,primary,Wilson,61.61,-139.58
Atthilu,2,secondary,Wilson,61.23,-136.96
Axe,1,primary,Wilson,61.12,-138.44
Blanch,1,primary,Wilson,59.98,-136.82
Cub,1,primary,Wilson,60.77,-135.45
Decourcy,1,primary,Wilson,61.49,-137.14
Donjek,1,primary,Wilson,61.69,-139.77
Emerald,1,primary,Wilson,61.07,-138.38
Equiset,1,primary,Wilson,61.43,-137.05
FoxPoint,1,primary,Wilson,61.12,-138.43
Grayling,1,primary,Wilson,61.16,-138.43
Hungry,1,primary,Wilson,60.98,-138.18
Jenny,1,primary,Wilson,61.05,-138.36
K819,2,secondary,Wilson,61.77,-139.98
Keyhole,1,primary,Wilson,61.08,-138.37
