"CodeNum","CodeName","FullName","Chironomini","Chironomus anthracinus","Chironomus plumosus","Cladopelma lateralis","Constempellina","Cryptochironomus","Dicrotendipes nervosus","Einfeldia","Endochironomus albipennis","Endochironomus tendens","Endochironomus impar","Glyptotendipes pallens","Glyptotendipes severini","Microtendipes pedellus","Parachironomus varus","Paratendipes nubisquama","Phaneosectra type A","Polypedilum nubeculosum","Polypedilum sordens","Sergentia coracina","Stichtochironomus B","Cladotanytarsus mancus1","Corynocera ambigua","Corynocera oliveri","Micropsectra insignilobus","Paratanytarsus","Tanytarsus sp","Tanytarsus lactesens","Tanytarsus lugens","Tanytarsus mendax","Tanytarsus pallidicornis","Allopsectrocladius","Brillia","Parametricnemus","Corynoneura","Cricotopus","Eukiefferiella fittkaui","H# marcidus","Limnophyes","Nanocladius branchio","Orthocladius","Parakiefferiella bathophila","Psectrocladius sordidellus","Psectrocladius septentri","Pseudosmittia","Smittia","Pentaneurini","Ablabesmyia","Krenopelopia","Procladius","F52"
2010,"Sam0001","Sam0001",20,0,20,0,0,0,0,0,0,0,0,0,0,0,12,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5
2009,"Sam0002","Sam0002",12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,25,12.5,0,0,0,0,0,0,12.5,0,0,6,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2008,"Sam0003","Sam0003",10,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,30,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,100
2007,"Sam0004","Sam0004",12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,28,0,1.2,0,0,0,0,0,22,0,0,0,0,0,0,0,0,15,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,98.2
2006,"Sam0005","Sam0005",11.7647,0,0,0,0,0,0,5.88235,5.88235,0,0,0,0,0,0,0,0,11.7647,5.88235,0,0,5.88235,0,0,0,23.5294,5.88235,0,0,5.88235,0,0,0,0,5.88235,5.88235,0,0,5.88235,0,0,0,0,0,0,0,0,0,0,0,100
2005,"Sam0006","Sam0006",0,0,0,20,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2004,"Sam0007","Sam0007",14,14,0,0,0,0,0,0,14,0,0,0,0,25,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
2003,"Sam0008","Sam0008",14.2857,0,14.2857,0,0,0,0,0,14.2857,0,0,0,0,28.5714,0,0,0,14.2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.7142
2002,"Sam0009","Sam0009",7.69231,0,0,0,0,0,0,0,0,0,0,7.69231,0,0,0,7.69231,0,0,0,7.69231,0,0,0,0,0,30.7692,0,0,0,15.3846,0,0,0,0,7.69231,7.69231,0,0,0,7.69231,0,0,0,0,0,0,0,0,0,0,100
2001,"Sam0010","Sam0010",17.6471,0,0,0,0,0,17.6471,0,0,5.88235,11.7647,5.88235,0,0,0,0,0,0,5.88235,0,0,0,0,0,0,0,5.88235,0,0,5.88235,0,0,0,0,5.88235,11.7647,0,5.88235,0,0,0,0,0,0,0,0,0,0,0,0,100
