"Year CE" "Temperature Anomaly"
1000 NA
1001 NA
1002 NA
1003 NA
1004 NA
1005 NA
1006 NA
1007 NA
1008 1.1484
1009 2.7917
1010 3.4005
1011 4.0093
1012 4.6181
1013 3.913483333
1014 3.208866667
1015 2.50425
1016 1.799633333
1017 1.095016667
1018 0.3904
1019 0.805244444
1020 1.220088889
1021 1.634933333
1022 2.049777778
1023 2.464622222
1024 2.879466667
1025 3.294311111
1026 3.709155556
1027 4.124
1028 3.673190909
1029 3.222381818
1030 2.771572727
1031 2.320763636
1032 1.869954545
1033 1.419145455
1034 0.968336364
1035 0.517527273
1036 0.066718182
1037 -0.384090909
1038 -0.8349
1039 -0.531133333
1040 -0.227366667
1041 0.0764
1042 0.380166667
1043 0.683933333
1044 0.9877
1045 1.291466667
1046 1.595233333
1047 1.899
1048 2.202766667
1049 2.506533333
1050 2.8103
1051 2.725572973
1052 2.640845946
1053 2.556118919
1054 2.471391892
1055 2.386664865
1056 2.301937838
1057 2.217210811
1058 2.132483784
1059 2.047756757
1060 1.96302973
1061 1.878302703
1062 1.793575676
1063 1.708848649
1064 1.624121622
1065 1.539394595
1066 1.454667568
1067 1.369940541
1068 1.285213514
1069 1.200486486
1070 1.115759459
1071 1.031032432
1072 0.946305405
1073 0.861578378
1074 0.776851351
1075 0.692124324
1076 0.607397297
1077 0.52267027
1078 0.437943243
1079 0.353216216
1080 0.268489189
1081 0.183762162
1082 0.099035135
1083 0.014308108
1084 -0.070418919
1085 -0.155145946
1086 -0.239872973
1087 -0.3246
1088 -0.287187879
1089 -0.249775758
1090 -0.212363636
1091 -0.174951515
1092 -0.137539394
1093 -0.100127273
1094 -0.062715152
1095 -0.02530303
1096 0.012109091
1097 0.049521212
1098 0.086933333
1099 0.124345455
1100 0.161757576
1101 0.199169697
1102 0.236581818
1103 0.273993939
1104 0.311406061
1105 0.348818182
1106 0.386230303
1107 0.423642424
1108 0.461054545
1109 0.498466667
1110 0.535878788
1111 0.573290909
1112 0.61070303
1113 0.648115152
1114 0.685527273
1115 0.722939394
1116 0.760351515
1117 0.797763636
1118 0.835175758
1119 0.872587879
1120 0.91
1121 0.967384615
1122 1.024769231
1123 1.082153846
1124 1.139538462
1125 1.196923077
1126 1.254307692
1127 1.311692308
1128 1.369076923
1129 1.426461538
1130 1.483846154
1131 1.541230769
1132 1.598615385
1133 1.656
1134 1.713384615
1135 1.770769231
1136 1.828153846
1137 1.885538462
1138 1.942923077
1139 2.000307692
1140 2.057692308
1141 2.115076923
1142 2.172461538
1143 2.229846154
1144 2.287230769
1145 2.344615385
1146 2.402
1147 2.371060606
1148 2.340121212
1149 2.309181818
1150 2.278242424
1151 2.24730303
1152 2.216363636
1153 2.185424242
1154 2.154484848
1155 2.123545455
1156 2.092606061
1157 2.061666667
1158 2.030727273
1159 1.999787879
1160 1.968848485
1161 1.937909091
1162 1.906969697
1163 1.876030303
1164 1.845090909
1165 1.814151515
1166 1.783212121
1167 1.752272727
1168 1.721333333
1169 1.690393939
1170 1.659454545
1171 1.628515152
1172 1.597575758
1173 1.566636364
1174 1.53569697
1175 1.504757576
1176 1.473818182
1177 1.442878788
1178 1.411939394
1179 1.381
1180 1.414331579
1181 1.447663158
1182 1.480994737
1183 1.514326316
1184 1.547657895
1185 1.580989474
1186 1.614321053
1187 1.647652632
1188 1.680984211
1189 1.714315789
1190 1.747647368
1191 1.780978947
1192 1.814310526
1193 1.847642105
1194 1.880973684
1195 1.914305263
1196 1.947636842
1197 1.980968421
1198 2.0143
1199 1.858615789
1200 1.702931579
1201 1.547247368
1202 1.391563158
1203 1.235878947
1204 1.080194737
1205 0.924510526
1206 0.768826316
1207 0.613142105
1208 0.457457895
1209 0.301773684
1210 0.146089474
1211 -0.009594737
1212 -0.165278947
1213 -0.320963158
1214 -0.476647368
1215 -0.632331579
1216 -0.788015789
1217 -0.9437
1218 -0.882776471
1219 -0.821852941
1220 -0.760929412
1221 -0.700005882
1222 -0.639082353
1223 -0.578158824
1224 -0.517235294
1225 -0.456311765
1226 -0.395388235
1227 -0.334464706
1228 -0.273541176
1229 -0.212617647
1230 -0.151694118
1231 -0.090770588
1232 -0.029847059
1233 0.031076471
1234 0.092
1235 0.2958375
1236 0.499675
1237 0.7035125
1238 0.90735
1239 1.1111875
1240 1.315025
1241 1.5188625
1242 1.7227
1243 1.519875
1244 1.31705
1245 1.114225
1246 0.9114
1247 0.986025
1248 1.06065
1249 1.135275
1250 1.2099
1251 0.921466667
1252 0.633033333
1253 0.3446
1254 -1.3931
1255 -1.09935
1256 -0.8056
1257 -0.38022
1258 0.04516
1259 0.47054
1260 0.89592
1261 1.3213
1262 0.617243333
1263 -0.086813333
1264 -0.79087
1265 -1.494926667
1266 -2.198983333
1267 -2.90304
1268 -2.770112
1269 -2.637184
1270 -2.504256
1271 -2.371328
1272 -2.2384
1273 -2.650083333
1274 -3.061766667
1275 -3.47345
1276 -2.535866667
1277 -1.598283333
1278 -0.6607
1279 -0.637975
1280 -0.61525
1281 -0.592525
1282 -0.5698
1283 -1.928245
1284 -3.28669
1285 -3.130593333
1286 -2.974496667
1287 -2.8184
1288 -1.71015
1289 -0.6019
1290 -0.53332
1291 -0.46474
1292 -0.39616
1293 -0.32758
1294 -0.259
1295 -0.237225
1296 -0.21545
1297 -0.193675
1298 -0.1719
1299 -0.043025
1300 0.08585
1301 0.214725
1302 0.3436
1303 0.429525
1304 0.51545
1305 0.601375
1306 0.6873
1307 -0.1732
1308 -1.0337
1309 -1.1099
1310 -0.3483
1311 -0.16645
1312 0.0154
1313 0.19725
1314 0.3791
1315 0.122357143
1316 -0.134385714
1317 -0.391128571
1318 -0.647871429
1319 -0.904614286
1320 -1.161357143
1321 -1.4181
1322 -1.368085714
1323 -1.318071429
1324 -1.268057143
1325 -1.218042857
1326 -1.168028571
1327 -1.118014286
1328 -1.068
1329 -0.473775
1330 0.12045
1331 0.714675
1332 1.3089
1333 0.698675
1334 0.08845
1335 -0.521775
1336 -1.132
1337 -0.94575
1338 -0.7595
1339 -0.57325
1340 -0.387
1341 -0.5743375
1342 -0.761675
1343 -0.9490125
1344 -1.13635
1345 -1.745175
1346 -2.354
1347 -0.86795
1348 0.6181
1349 0.7508
1350 0.8835
1351 1.0162
1352 1.1489
1353 0.733225
1354 0.31755
1355 -0.098125
1356 -0.5138
1357 -0.862375
1358 -1.21095
1359 -1.559525
1360 -1.9081
1361 -2.609265
1362 -3.31043
1363 -4.119945
1364 -4.92946
1365 -4.770523571
1366 -4.611587143
1367 -4.452650714
1368 -4.293714286
1369 -4.134777857
1370 -3.975841429
1371 -3.816905
1372 -3.657968571
1373 -3.499032143
1374 -3.340095714
1375 -3.181159286
1376 -3.022222857
1377 -2.863286429
1378 -2.70435
1379 -2.489246875
1380 -2.27414375
1381 -2.059040625
1382 -1.8439375
1383 -1.628834375
1384 -1.41373125
1385 -1.198628125
1386 -0.983525
1387 -0.768421875
1388 -0.55331875
1389 -0.338215625
1390 -0.1231125
1391 0.091990625
1392 0.30709375
1393 0.522196875
1394 0.7373
1395 0.586075
1396 0.43485
1397 0.283625
1398 0.1324
1399 0.022725
1400 -0.08695
1401 -0.196625
1402 -0.3063
1403 -0.415575
1404 -0.52485
1405 -0.634125
1406 -0.7434
1407 -1.888515
1408 -3.03363
1409 -2.583715
1410 -2.1338
1411 -1.64405
1412 -1.1543
1413 -0.54325
1414 0.0678
1415 -0.240325
1416 -0.54845
1417 -0.856575
1418 -1.1647
1419 -0.688833333
1420 -0.212966667
1421 0.2629
1422 0.738766667
1423 1.214633333
1424 1.6905
1425 1.0723
1426 0.4541
1427 0.1351
1428 -0.1839
1429 -0.5029
1430 -1.27967
1431 -2.05644
1432 -2.83321
1433 -2.620273333
1434 -2.407336667
1435 -2.1944
1436 -1.76105
1437 -1.3277
1438 -0.89435
1439 -0.461
1440 -0.260666667
1441 -0.060333333
1442 0.14
1443 0.078433333
1444 0.016866667
1445 -0.0447
1446 -0.106266667
1447 -0.167833333
1448 -0.2294
1449 -0.44325
1450 -0.6571
1451 -0.87095
1452 -1.0848
1453 -1.29865
1454 -1.5125
1455 -2.925615
1456 -4.33873
1457 -3.294415
1458 -2.2501
1459 -1.01
1460 -1.198875
1461 -1.38775
1462 -1.576625
1463 -1.7655
1464 -1.54012
1465 -1.31474
1466 -1.08936
1467 -0.86398
1468 -0.6386
1469 -0.64175
1470 -0.6449
1471 -0.64805
1472 -0.6512
1473 -0.1857
1474 0.2798
1475 0.397425
1476 0.51505
1477 0.70555
1478 0.89605
1479 0.31755
1480 -0.26095
1481 1.242825
1482 2.7466
1483 1.459
1484 0.1714
1485 -1.1162
1486 -0.787566667
1487 -0.458933333
1488 -0.1303
1489 0.6966
1490 1.5235
1491 2.3504
1492 3.1773
1493 1.868475
1494 0.55965
1495 -0.749175
1496 -2.058
1497 -1.6562
1498 -1.2544
1499 -0.8526
1500 -0.4508
1501 -0.049
1502 0.3528
1503 0.7546
1504 1.1564
1505 1.5582
1506 1.96
1507 1.784957143
1508 1.609914286
1509 1.434871429
1510 1.259828571
1511 1.084785714
1512 0.909742857
1513 0.7347
1514 0.559657143
1515 0.384614286
1516 0.209571429
1517 0.034528571
1518 -0.140514286
1519 -0.315557143
1520 -0.4906
1521 -0.540725
1522 -0.59085
1523 -0.640975
1524 -0.6911
1525 -0.741225
1526 -0.79135
1527 -0.841475
1528 -0.8916
1529 -1.0699
1530 -1.2482
1531 -0.4723
1532 0.3036
1533 0.19392
1534 0.08424
1535 -0.02544
1536 -0.13512
1537 -0.2448
1538 -0.594033333
1539 -0.943266667
1540 -1.2925
1541 -1.641733333
1542 -1.990966667
1543 -2.3402
1544 -1.7751
1545 -1.21
1546 -0.6449
1547 -0.0798
1548 -0.161533333
1549 -0.243266667
1550 -0.325
1551 -0.00815
1552 0.3087
1553 0.62555
1554 0.9424
1555 0.70288
1556 0.46336
1557 0.22384
1558 -0.01568
1559 -0.2552
1560 -0.694206
1561 -1.133212
1562 -1.572218
1563 -2.011224
1564 -2.45023
1565 -1.388915
1566 -0.3276
1567 -0.6383
1568 -0.949
1569 -1.223
1570 -1.497
1571 -0.383
1572 0.731
1573 -0.32325
1574 -1.3775
1575 -0.5869
1576 0.2037
1577 0.9943
1578 0.9329
1579 0.8715
1580 0.8101
1581 0.62815
1582 0.4462
1583 0.26425
1584 0.0823
1585 -0.192025
1586 -0.46635
1587 -0.740675
1588 -1.015
1589 -2.91693
1590 -4.81886
1591 -4.166685
1592 -3.51451
1593 -1.087105
1594 1.3403
1595 -0.12187
1596 -1.58404
1597 -1.561116667
1598 -1.538193333
1599 -1.51527
1600 -1.492346667
1601 -1.469423333
