Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Segl-Maria
Altitude [m asl]:         1804 m
Coordinates:              46° 25.9' N / 9° 45.7' E

Reference date of homogenization:
         Temperature:     01.12.2007
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.08.2017


Year  Month        Temperature      Precipitation  
1864      1              -11.0                4.9  
1864      2               -7.8               54.0  
1864      3               -3.9               68.1  
1864      4               -1.7               35.1  
1864      5                4.6               46.5  
1864      6                7.9              117.8  
1864      7               10.4               84.8  
1864      8                9.0              151.9  
1864      9                7.1              147.7  
1864     10                1.6              140.3  
1864     11               -2.4               63.0  
1864     12               -7.6                9.0  
1865      1               -7.7               51.2  
1865      2               -9.8                7.8  
1865      3               -8.8               46.6  
1865      4                2.2                5.3  
1865      5                6.8              114.6  
1865      6                8.9               79.7  
1865      7               11.4              119.3  
1865      8                9.6              233.6  
1865      9                9.1               11.1  
1865     10                2.6              173.0  
1865     11               -1.2              140.0  
1865     12               -6.2               38.0  
1866      1               -5.4               32.0  
1866      2               -3.9               54.9  
1866      3               -4.0              102.7  
1866      4                0.2              172.9  
1866      5                2.3              125.8  
1866      6                9.3               75.8  
1866      7               10.4              107.4  
1866      8                8.8               98.3  
1866      9                7.6               97.5  
1866     10                3.1                7.4  
1866     11               -2.4               20.4  
1866     12               -3.8               41.0  
1867      1               -6.2              147.7  
1867      2               -2.6                6.0  
1867      3               -2.6               58.9  
1867      4                0.9               79.8  
1867      5                4.7              120.6  
1867      6                8.7               82.5  
1867      7                9.6               92.1  
1867      8               10.7               64.9  
1867      9                8.4              153.0  
1867     10                0.8              145.6  
1867     11               -3.1               59.3  
1867     12               -8.0              114.7  
1868      1               -8.9               38.1  
1868      2               -5.3                5.4  
1868      3               -5.3               50.7  
1868      4               -0.6              101.4  
1868      5                8.0               44.6  
1868      6               10.0              117.9  
1868      7               10.7               86.3  
1868      8               11.0               76.0  
1868      9                8.5              233.4  
1868     10                3.9              222.8  
1868     11               -4.3               74.9  
1868     12               -2.6               57.1  
1869      1               -9.2                6.7  
1869      2               -2.2               14.5  
1869      3               -6.6              100.1  
1869      4                0.5               42.9  
1869      5                6.7              144.5  
1869      6                6.5              115.0  
